Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,1,"79,5","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","19,2","999,0","999,0","999,0","1,4","999,0","999,0","26,9","999,0","999,0","999,0","999,0","999,0","4,6","25,6","1,8","999,0",999.0,999.0,999.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,2,"41,9","999,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","6,9","2,2","999,0","999,0","999,0","2,2","0,0","10,6","9,4","10,6","999,0",999.0,,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,3,"28,4","999,0","999,0","999,0","0,0","999,0","999,0","999,0","0,0","0,0","15,6","999,0","999,0","999,0","4,4","0,0","999,0","0,0","0,0","999,0","999,0","3,2","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,5.2,999.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,4,"125,4","999,0","999,0","999,0","6,2","0,0","0,0","999,0","0,0","999,0","999,0","999,0","999,0","3,2","7,2","999,0","999,0","999,0","999,0","11,8","8,4","1,8","13,4","10,8","22,0","18,6","0,0","1,6","2,2",18.2,999.0,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,5,"64,0","2,4","999,0","999,0","3,4","9,6","999,0","999,0","999,0","0,0","999,0","999,0","10,4","0,0","0,0","999,0","999,0","6,8","0,0","0,0","0,0","999,0","999,0","19,4","7,8","4,2","0,0","0,0","0,0",999.0,999.0,0.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,6,"36,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,0","999,0","999,0","999,0","4,4","0,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","4,6","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,7,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,8,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,9,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,10,"0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,0.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,11,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1988,12,"110,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","43,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0","0,0","14,1","0,0","10,0","0,0","35,2","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,1,"154,4","18,2","0,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,0","0,0","0,0","0,0","14,2","0,0","0,0","0,0","0,0","0,0","0,0","5,2","16,0","3,0","15,0","21,0","36,6",5.2,0.0,0.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,2,"18,2","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,3","0,0","7,5","2,4","0,0","0,0","0,0","0,0","0,0",,,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,3,"32,3","999,0","7,5","4,6","999,0","999,0","5,2","999,0","999,0","999,0","15,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,999.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,4,"19,8","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","18,0","1,8","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,5,"4,0","999,0","999,0","4,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,999.0
Sobral,AC. AYRES DE SOUZA,"-3,7666666666667","-40,5",1989,6,"3,5","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","3,5","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
