Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,1,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,2,"100,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0","0,0","0,0","999,0","999,0","0,0","0,0","0,0","45,0","4,0","2,0","999,0","999,0","999,0","999,0","999,0","999,0","49,0","999,0","999,0","999,0","999,0",999.0,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,3,"153,0","999,0","999,0","999,0","3,0","5,0","18,0","999,0","999,0","999,0","999,0","5,0","11,0","0,0","13,0","999,0","999,0","999,0","1,0","8,0","999,0","999,0","40,0","999,0","37,0","8,0","999,0","2,0","999,0",999.0,999.0,2.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,4,"316,0","35,0","58,0","4,0","0,0","0,0","1,0","0,0","0,0","0,0","2,0","0,0","0,0","6,0","8,0","0,0","16,0","54,0","8,0","2,0","34,0","15,0","38,0","0,0","15,0","0,0","6,0","0,0","999,0",0.0,14.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,5,"21,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","18,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","999,0",999.0,999.0,999.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,6,"0,0","0,0","0,0","999,0","0,0","0,0","0,0","0,0","0,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,7,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,8,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,9,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,10,"0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,0.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1988,12,"113,0","0,0","76,0","0,0","0,0","0,0","0,0","0,0","37,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,1,"270,0","50,0","0,0","0,0","0,0","0,0","0,0","27,0","8,0","16,0","0,0","5,0","1,0","20,0","7,0","9,0","0,0","0,0","0,0","0,0","4,0","49,0","0,0","0,0","0,0","23,0","0,0","43,0","0,0",8.0,0.0,0.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,2,"12,6","2,0","0,0","999,0","0,0","999,0","999,0","999,0","999,0","0,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","2,0","999,0","8,6","999,0","999,0","999,0","999,0",,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,3,"255,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0","0,0","14,0","4,0","6,0","63,0","3,0","1,0","19,0","31,0","0,0","16,0","20,0","0,0","14,0",9.0,5.0,0.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,4,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,5,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,6,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,7,"0,0","0,0","0,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,999.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,8,"0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",0.0,0.0,0.0
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,9,"0,0","999,0","999,0","999,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0","999,0","999,0","999,0","0,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,10,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,11,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Juazeiro do Norte,AEROPORTO(JUAZ. DO NORTE),"-7,2166666666667","-39,3",1989,12,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
