Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,1,"132,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","27,0","15,0","0,0","0,0","0,0","28,0","27,0","0,0","0,0","0,0","0,0","8,0","8,0","0,0","0,0","0,0",19.6,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,2,"142,1","22,8","64,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,0","22,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,3,"243,1","4,0","17,0","0,0","0,0","27,0","0,0","0,0","0,0","0,0","42,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","68,0","58,0","0,0","16,8","10,3","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,4,"86,0","0,0","64,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,5,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,6,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1998,12,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,1,"116,8","0,0","0,0","0,0","0,0","0,0","0,0","40,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,7","10,0","0,0","17,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,40.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,2,"225,0","0,0","0,0","39,0","5,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","24,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","13,0","26,0","0,0","70,0","37,0","6,0",,,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,3,"301,0","20,0","0,0","63,0","3,0","0,0","0,0","0,0","0,0","6,0","0,0","0,0","0,0","11,0","10,0","20,0","23,0","15,0","15,0","38,0","32,0","0,0","40,0","0,0","0,0","0,0","0,0","1,0","4,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,4,"122,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","39,0","0,0","0,0","5,0","3,0","5,0","6,0","6,0","0,0","0,0","2,0","6,0","12,0","0,0","0,0","0,0","0,0","0,0","3,0","7,0",17.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,5,"94,0","18,0","4,0","0,0","4,0","21,0","0,0","9,0","0,0","0,0","3,0","4,0","0,0","0,0","0,0","3,0","20,0","8,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,6,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",1999,12,"15,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,1,"110,0","0,0","0,0","0,0","2,0","12,0","6,0","0,0","12,0","10,0","0,0","0,0","0,0","2,0","2,0","22,0","1,0","13,0","6,0","0,0","12,0","0,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,2,"131,0","0,0","36,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","0,0","1,0","0,0","3,0","1,0","2,0","0,0","0,0","4,0","47,0","13,0","6,0","8,0","2,0",0.0,,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,3,"130,0","1,0","14,0","4,0","0,0","0,0","0,0","0,0","14,0","0,0","8,0","4,0","0,0","4,0","2,0","4,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","4,0","6,0","7,0","6,0","9,0","20,0",0.0,12.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,4,"248,0","4,0","16,0","0,0","0,0","0,0","0,0","40,0","0,0","0,0","0,0","0,0","19,0","45,0","16,0","10,0","12,0","0,0","12,0","8,0","10,0","5,0","0,0","20,0","13,0","0,0","18,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,5,"44,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,10.0,15.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,6,"22,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","6,0","0,0","0,0","0,0","0,0","8,0","0,0","0,0",0.0,2.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,7,"42,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","26,0","0,0","0,0","0,0","0,0","0,0","16,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,8,"7,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2000,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2000,12,"46,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,0","3,0","0,0","0,0","35,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2000,12,"33,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,2","17,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2001,1,"33,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,0",0.0,0.0,0.0
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2001,1,"48,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","36,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2001,2,"164,0","0,0","6,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0","23,0","0,0","12,0","0,0","0,0","8,0","0,0","1,0","2,0","0,0","43,0","0,0","0,0","15,0","15,0","27,0","0,0","0,0","10,0",,,
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2001,2,"69,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,0","0,0","0,0","8,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","30,0","22,0","0,0",,,
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2001,3,"87,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,0","0,0","4,0","5,0","26,0","1,0","0,0","0,0","0,0","0,0","0,0","13,0","0,0","0,0","3,0","0,0","0,0","3,0","0,0","0,0","0,0",10.0,3.0,9.0
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2001,3,"130,0","5,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","13,0","0,0","0,0","20,0","5,0","48,0","0,0","0,0","0,0","0,0","20,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Sobral,BONFIM,"-3,7734722222222","-40,397944444444",2001,4,"302,0","0,0","12,0","3,0","4,0","0,0","0,0","0,0","0,0","0,0","60,0","5,0","27,0","27,0","9,0","0,0","12,0","0,0","30,0","5,0","34,0","8,0","0,0","0,0","0,0","0,0","0,0","16,0","50,0",0.0,0.0,
Senador Pompeu,BONFIM,"-5,5215833333333","-39,499888888889",2001,4,"95,0","0,0","0,0","32,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","45,0",0.0,0.0,
