Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,1,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,2,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",,,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,3,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,4,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,5,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,6,"33,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,8","0,0","13,8","5,8","0,0","0,0","10,8","0,0","1,6","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,7,"63,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","3,0","42,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","2,0","0,0","0,0","0,0","0,0","4,4","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,8,"75,2","0,0","32,0","0,0","0,0","20,4","0,0","14,0","0,4","6,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,9,"33,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,4","0,0","17,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,2","0,0","2,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2000,12,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,1,"81,0","0,0","0,0","0,0","0,0","20,0","0,0","15,0","16,0","0,0","0,0","0,0","0,0","12,0","18,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,2,"14,4","0,0","0,0","0,0","0,0","0,0","0,0","2,4","0,0","4,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,4","0,0",,,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,3,"85,2","7,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,0","0,0","6,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,2","0,0","0,0",30.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,4,"300,3","5,2","0,0","6,0","26,2","11,4","0,0","20,2","22,5","13,0","5,8","82,2","17,0","0,0","0,0","0,0","21,8","7,0","11,0","38,0","0,0","3,0","10,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,5,"15,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","0,0","0,0","0,0","0,0","0,0","2,8","0,0","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","0,0","0,0","0,0",1.8,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,6,"64,0","0,0","0,0","0,0","18,8","0,0","22,0","0,0","11,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,2","1,4",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,11,"2,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2001,12,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,1,"125,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","58,0","24,6","7,8","3,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","32,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,3,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,4,"98,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","22,2","0,0","0,0","0,0","0,0","28,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","0,0","7,8","33,8",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,5,"114,8","19,6","35,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,2","12,0","0,0","0,0","0,0","0,0","0,0","32,0","0,0","6,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,6,"11,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","4,2","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,7,"85,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","43,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","42,6","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Caucaia,LAGOA DA SERRA,"-3,817","-38,95",2002,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
