Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,1,"220,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","73,0","0,0","25,0","4,0","0,0","0,0","0,0","0,0","0,0","32,0","0,0","16,0","0,0","18,0","0,0","0,0","0,0","0,0",0.0,52.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,2,"187,0","0,0","0,0","0,0","0,0","31,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","27,0","18,0","18,0","7,0","40,0","0,0","0,0","0,0","0,0","28,0","8,0",,,
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,3,"326,0","0,0","0,0","0,0","32,0","0,0","41,0","0,0","33,0","4,0","0,0","0,0","82,0","12,0","0,0","0,0","11,0","0,0","0,0","21,0","11,0","7,0","0,0","0,0","0,0","0,0","6,0","28,0","38,0",0.0,0.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,4,"121,0","0,0","0,0","0,0","0,0","0,0","21,0","0,0","0,0","0,0","0,0","0,0","11,0","15,0","0,0","9,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0","48,0","11,0","0,0","0,0","0,0","0,0",0.0,0.0,
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,5,"140,0","13,0","0,0","0,0","0,0","0,0","17,0","0,0","0,0","24,0","0,0","0,0","0,0","0,0","0,0","36,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","42,0","0,0","0,0","0,0","8,0","0,0",0.0,0.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,6,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,8,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Várzea Alegre,RIACHO VERDE,"-6,87175","-39,370083333333",1999,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
