Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,1,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",999.0,999.0,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,2,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0",,,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,3,"127,2","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","4,0","36,2","0,0","0,0","46,0","20,0","13,0",0.0,0.0,8.0
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,4,"280,5","3,0","0,0","2,0","0,0","11,0","16,0","8,0","4,0","48,0","5,0","21,0","0,0","0,0","0,0","5,0","5,0","0,0","0,0","3,2","0,0","0,0","0,0","0,0","0,0","8,0","5,0","120,0","0,0",9.3,7.0,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,5,"35,0","7,0","0,0","0,0","0,0","0,0","5,3","1,3","0,4","0,0","0,0","0,0","0,0","0,0","12,0","0,0","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","3,6","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,6,"54,6","0,0","0,4","0,0","0,0","0,0","0,0","4,6","0,0","0,0","0,0","0,0","5,0","0,0","0,0","22,0","0,0","9,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","2,6","0,0",0.0,0.0,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,7,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,8,"11,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,
Maranguape,VICOSA 02,"-3,9236111111111","-38,730444444444",2023,12,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0
