Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,1,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,2,"999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,3,"113,1","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","999,0","4,2","31,1","0,0","32,0","11,0","19,2","12,2","0,0","3,4"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,4,"307,5","5,2","28,4","0,0","0,0","13,2","15,0","7,0","27,4","14,2","7,2","17,0","0,0","0,0","2,3","0,0","4,4","10,4","0,0","0,0","0,0","0,0","0,0","0,3","0,0","0,0","6,0","128,4","14,1","7,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,5,"91,6","17,2","0,0","0,0","5,4","0,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0","0,0","16,4","0,0","0,0","0,3","7,7","0,0","0,0","15,2","0,0","20,4","4,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,6,"67,4","0,0","0,0","0,0","0,0","1,4","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","21,4","4,0","3,0","0,0","11,2","0,0","19,0","3,4","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,7,"12,1","0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","6,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,8,"18,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,0","3,0","0,0","3,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,9,"7,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,10,"1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,11,"10,0","3,0","1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0","0,0","2,0","0,0"
Maranguape,VICOSA 01,"-3,9236666666667","-38,731805555556",2023,12,"40,7","0,0","0,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0","14,4","1,0","11,1","5,2","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
