ID,Nome_Posto,Nome_Municipio,Coordenada_Y,Coordenada_X,Ano_Inicio,Ano_Fim,Mes_Inicio,Mes_Fim,Total_dias_intervalo,Dias_dados_medidos,Dias_falhos,Percentual_dias_falhos,Total_meses_intervalo,Numero_meses_completos,Numero_meses_falha,Percentual_meses_falha,Total_anos_intervalo,Numero_anos_completos,Numero_anos_falha,Percentual_anos_falha,Precipitacao_media_anual,Mes_Jan,Mes_Fev,Mes_Mar,Mes_Apr,Mes_May,Mes_Jun,Mes_Jul,Mes_Aug,Mes_Sep,Mes_Oct,Mes_Nov,Mes_Dec
1,ABAIARA,Abaiara,"-7,3615277777778","-39,0355",1981,2024,1,7,16082,15880,202,"1,26",528,520,8,"1,52",44,41,3,"6,82","929,08","148,58","177,61","251,54","165,95","52,81","14,25","6,35","1,0","3,67","12,05","28,76","67,17"
2,ACARAU,Acaraú,"-2,8858888888889","-40,118416666667",1974,2024,1,7,18641,18473,168,"0,9",612,606,6,"0,98",51,50,1,"1,96","1165,42","110,24","179,65","316,38","298,46","154,31","58,18","21,57","2,82","0,9","1,96","4,04","17,51"
3,ACOPIARA,Acopiara,"-6,11075","-39,442722222222",1973,2024,5,7,19006,18651,355,"1,87",624,610,14,"2,24",52,48,4,"7,69","740,68","97,61","109,47","175,66","157,21","95,0","37,15","23,63","6,51","4,76","7,87","7,57","30,12"
4,AIUABA,Aiuaba,"-6,567","-40,116694444444",1978,2024,1,7,17179,17006,173,"1,01",564,555,9,"1,6",47,43,4,"8,51","575,39","103,54","97,31","138,35","108,64","43,2","12,42","7,02","2,25","3,33","7,23","14,8","38,97"
5,ALCANTARAS,Alcântaras,"-3,5853611111111","-40,544222222222",1981,2024,1,7,16082,15028,1054,"6,55",528,492,36,"6,82",44,36,8,"18,18","690,15","100,26","140,9","207,37","198,69","71,3","24,47","7,11","0,91","0,0","0,0","3,15","13,05"
6,ALTANEIRA,Altaneira,"-7,0008333333333","-39,737222222222",1979,2024,1,7,16814,16604,210,"1,25",552,542,10,"1,81",46,41,5,"10,87","835,18","134,95","167,69","210,3","151,82","64,44","12,53","5,91","0,52","3,06","9,68","26,92","49,18"
7,ALTO SANTO,Alto Santo,"-5,5128611111111","-38,265388888889",1979,2024,1,7,16814,16602,212,"1,26",552,544,8,"1,45",46,44,2,"4,35","716,11","75,13","113,84","185,72","166,74","83,17","37,72","22,39","3,77","0,71","3,54","4,27","20,17"
8,AMONTADA,Amontada,"-3,3611388888889","-39,826861111111",1982,2024,1,7,15717,12930,2787,"17,73",516,423,93,"18,02",43,30,13,"30,23","582,38","87,19","113,32","189,0","184,98","68,82","21,18","11,33","0,0","0,3","0,51","2,26","5,77"
9,ANTONINA DO NORTE,Antonina do Norte,"-6,7671944444444","-39,985638888889",1976,2024,1,7,17911,15984,1927,"10,76",588,524,64,"10,88",49,40,9,"18,37","538,56","81,03","103,26","160,77","129,64","42,17","14,01","4,73","1,43","2,24","3,96","17,83","29,69"
10,APUIARES,Apuiarés,"-3,95","-39,433305555556",1982,2024,1,7,15717,15514,203,"1,29",516,506,10,"1,94",43,39,4,"9,3","773,12","78,89","110,89","208,61","185,2","106,45","41,67","22,34","3,55","0,13","0,12","1,89","14,64"
11,AQUIRAZ,Aquiraz,"-3,9","-38,383305555556",1979,2024,1,7,16814,16288,526,"3,13",552,532,20,"3,62",46,41,5,"10,87","1351,31","117,46","183,57","310,85","326,62","199,9","127,07","59,95","14,16","9,77","6,24","4,9","26,01"
12,ARACATI,Aracati,"-4,5684722222222","-37,774694444444",1974,2024,1,7,18641,18462,179,"0,96",612,605,7,"1,14",51,49,2,"3,92","930,08","96,44","150,59","231,72","223,4","125,83","44,09","27,04","4,36","1,91","3,84","3,81","18,09"
