data;1;2;3
01-01-1974;2460,3;2460,3;2130,0
01-01-1975;1289,1;1289,1;1163,0
01-01-1976;938,1;938,1;903,0
01-01-1977;1112,2;1112,2;990,0
01-01-1978;1200,0;1200,0;933,6
01-01-1979;440,7;440,7;763,7
01-01-1980;346,9;346,9;676,0
01-01-1981;631,0;631,0;971,0
01-01-1982;969,3;611,3;1028,0
01-01-1983;462,9;422,5;483,7
01-01-1984;1295,4;1295,4;1303,0
01-01-1985;2886,2;2886,2;1796,5
01-01-1986;1861,2;1861,2;1525,0
01-01-1987;1040,5;1040,5;529,0
01-01-1988;1700,3;1140,4;1210,6
01-01-1989;1951,3;968,0;1023,0
01-01-1990;528,3;673,7;887,8
01-01-1991;885,9;1281,3;1346,6
01-01-1992;836,1;693,2;711,5
01-01-1993;541,0;615,5;447,5
01-01-1994;1526,4;1686,5;1583,0
01-01-1995;1405,7;1327,5;1462,6
01-01-1996;1181,7;1035,6;1108,0
01-01-1997;622,1;628,6;656,6
01-01-1998;786,3;846,4;951,8
01-01-1999;974,7;1222,5;1101,3
01-01-2000;1203,3;1571,5;1241,0
01-01-2001;766,8;630,1;660,0
01-01-2002;1100,6;1054,9;1011,9
01-01-2003;1406,5;1845,6;1255,1
01-01-2004;1309,7;772,9;899,0
01-01-2005;572,4;719,8;633,7
01-01-2006;1046,0;905,5;1278,5
01-01-2007;740,1;1004,0;809,4
01-01-2008;1371,3;1936,0;1452,1
01-01-2009;2497,7;1736,7;1742,9
01-01-2010;669,9;1002,8;589,4
01-01-2011;1598,6;1745,0;1652,7
01-01-2012;558,5;395,0;858,4
01-01-2013;598,3;802,0;859,2
01-01-2014;574,4;748,0;792,8
01-01-2015;1017,2;823,0;861,0
01-01-2016;1043,0;819,8;952,2
01-01-2017;1034,0;1166,5;1168,9
01-01-2018;910,1;1078,5;1116,2
01-01-2019;2319,0;2134,2;1337,8
01-01-2020;1687,6;1222,8;1153,2
01-01-2021;958,0;801,5;969,4
01-01-2022;1449,0;1128,0;1269,5
01-01-2023;1314,4;1043,5;1270,8
01-01-2024;1828,6;1395,0;1025,3
