data;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
01-01-1974;241,0;252,0;252,0;252,0;252,0;252,0;252,0;252,0;252,0;252,0;347,9;347,9;252,0;252,0;241,0;252,0;241,0;241,0;252,0;241,0
01-02-1974;162,0;128,0;128,0;128,0;128,0;128,0;128,0;128,0;128,0;128,0;173,2;173,2;128,0;128,0;162,0;128,0;162,0;162,0;128,0;162,0
01-03-1974;378,0;304,0;304,0;304,0;304,0;304,0;304,0;304,0;304,0;304,0;492,5;492,5;304,0;304,0;378,0;304,0;378,0;378,0;304,0;378,0
01-04-1974;150,0;510,0;510,0;510,0;510,0;510,0;510,0;510,0;510,0;510,0;609,5;609,5;510,0;510,0;150,0;510,0;150,0;150,0;510,0;150,0
01-05-1974;334,0;494,0;494,0;494,0;494,0;494,0;494,0;494,0;494,0;494,0;350,4;350,4;494,0;494,0;334,0;494,0;334,0;334,0;494,0;334,0
01-06-1974;77,0;133,0;133,0;133,0;133,0;133,0;133,0;133,0;133,0;133,0;116,6;116,6;133,0;133,0;77,0;133,0;77,0;77,0;133,0;77,0
01-07-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01-08-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01-09-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,2;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01-10-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;5,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01-11-1974;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
01-12-1974;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84,9;84,9;0,0;0,0;20,0;0,0;20,0;20,0;0,0;20,0
01-01-1975;96,7;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;95,9;95,9;40,0;40,0;96,7;40,0;96,7;96,7;40,0;96,7
01-02-1975;181,3;169,0;169,0;169,0;169,0;169,0;169,0;169,0;169,0;169,0;90,1;90,1;169,0;169,0;181,3;169,0;181,3;181,3;169,0;181,3
01-03-1975;356,9;280,0;280,0;280,0;280,0;280,0;280,0;280,0;280,0;280,0;412,1;412,1;280,0;280,0;356,9;280,0;356,9;356,9;280,0;356,9
01-04-1975;357,7;214,0;214,0;214,0;214,0;214,0;214,0;214,0;214,0;214,0;280,2;280,2;214,0;214,0;357,7;214,0;357,7;357,7;214,0;357,7
